Hash,RSSI,SNR,Throughput,BER,FEC,PC,MC,Delay,Jitter,HC,Ouput
0b1f8ba4960e0fa8c81bda9c124b1d6228c2bdaec2c2afaebda99f50cffc2e1a,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8612942716795635,0.0,0.0,0.41692836145568224
0b1f8ba4960e0fa8c81bda9c124b1d6228c2bdaec2c2afaebda99f50cffc2e1a,1.0,1.0,1.0,0.0,0.2593500117602251,1.0,1.0,0.0,0.8922499219811938,0.0,0.5876324600070658
0b1f8ba4960e0fa8c81bda9c124b1d6228c2bdaec2c2afaebda99f50cffc2e1a,0.18001023148740244,0.34502206964198134,0.017010935601458083,0.7086385532378368,1.0,0.0,0.0,1.0,1.0,0.0,0.45754338653335036
bbc3c9bf8263bd0cc6244217996b816eeef8517760ac3b4ff6808b92e37eec24,0.0,0.0,0.0,1.0,0.6687729298579674,0.0,0.0,1.0,1.0,1.0,0.4055701046196866
bbc3c9bf8263bd0cc6244217996b816eeef8517760ac3b4ff6808b92e37eec24,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.5937041263416802
bbc3c9bf8263bd0cc6244217996b816eeef8517760ac3b4ff6808b92e37eec24,0.07693349586888774,0.1558209774848984,0.007151370679380213,0.8640436202523538,1.0,0.0,0.0,1.0,1.0,1.0,0.42478981984424763
6f257904a4c7ddd7dd340bf4a88f961df1d0076bfa720eef70582701f9e5cbdd,0.0,0.0,0.0,1.0,0.1910377265347657,0.0,0.0,1.0,0.0,1.0,0.40438430123470254
6f257904a4c7ddd7dd340bf4a88f961df1d0076bfa720eef70582701f9e5cbdd,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.595184228962265
6f257904a4c7ddd7dd340bf4a88f961df1d0076bfa720eef70582701f9e5cbdd,0.1040655961735572,0.21294742729306493,0.00975609756097561,0.9585547084654724,1.0,0.0,0.0,1.0,0.0,1.0,0.4219897521227619
d04c1bc38e4c7124627c62583e501c3fb44eec177a1e492e3a1eb5dae960820b,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.4006237725164143
d04c1bc38e4c7124627c62583e501c3fb44eec177a1e492e3a1eb5dae960820b,1.0,1.0,1.0,0.0,0.4453074353757133,1.0,1.0,0.0,0.0,0.0,0.5980939469508453
d04c1bc38e4c7124627c62583e501c3fb44eec177a1e492e3a1eb5dae960820b,0.08897078178467951,0.1753726506804925,0.008055235903337168,0.8509518936752246,1.0,0.0,0.0,1.0,1.0,1.0,0.4243265335486016
82cdeaa5f37a878603bb81eafa03f5fcd74d7990adbc7756d7cb0a35b1cf23c7,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.3879236961792197
82cdeaa5f37a878603bb81eafa03f5fcd74d7990adbc7756d7cb0a35b1cf23c7,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.6120763038207804
82cdeaa5f37a878603bb81eafa03f5fcd74d7990adbc7756d7cb0a35b1cf23c7,0.1059964047252189,0.20395305744286593,0.00958083832335329,0.7712337264263175,0.699552248426284,0.0,0.0,1.0,1.0,1.0,0.4183229419917661
816986761b67ffe4a19cb6452350efaffecd47ab14988f0c5a97968fd689fd9b,0.0,0.0,0.0,1.0,0.13104697976949697,0.0,0.0,0.0,0.0,1.0,0.41317248082588687
816986761b67ffe4a19cb6452350efaffecd47ab14988f0c5a97968fd689fd9b,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.5861733817115408
816986761b67ffe4a19cb6452350efaffecd47ab14988f0c5a97968fd689fd9b,0.04783084214363877,0.10522938723131219,0.004981320049813197,0.8195108498398964,1.0,0.0,0.0,0.0,0.0,1.0,0.4307723609092882
bdad28b413a30b37e5cb5fcc1745709a04918829ac357d04280af10075affa59,0.0,0.0,0.0,1.0,0.8896198469162857,0.0,0.0,1.0,1.0,1.0,0.4012654046489699
bdad28b413a30b37e5cb5fcc1745709a04918829ac357d04280af10075affa59,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.5986943213420732
bdad28b413a30b37e5cb5fcc1745709a04918829ac357d04280af10075affa59,0.0851049825577573,0.1678122163143561,0.007769145394006658,0.7946673893986821,1.0,0.0,0.0,1.0,1.0,1.0,0.42458424809548584
8bd3656d3be5ddf847053e5554e1f3ffb84a2dadbd85b274ecd218dbe151779a,0.0,0.0,0.0,1.0,0.3823352202267121,0.0,0.0,1.0,1.0,1.0,0.4057440856472896
8bd3656d3be5ddf847053e5554e1f3ffb84a2dadbd85b274ecd218dbe151779a,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.5911224274890859
8bd3656d3be5ddf847053e5554e1f3ffb84a2dadbd85b274ecd218dbe151779a,0.16857243072606048,0.35469580626107505,0.016581632653061222,0.7994491967473554,1.0,0.0,0.0,1.0,1.0,1.0,0.4478130988622189
27db7146660da457f0ef4c7cbc27a87669da1e6f247d835eb0ad9f108be613d7,0.0,0.0,0.0,1.0,0.15336140649083582,0.0,0.0,1.0,0.0,1.0,0.40057146720539993
27db7146660da457f0ef4c7cbc27a87669da1e6f247d835eb0ad9f108be613d7,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.5975954628787344
27db7146660da457f0ef4c7cbc27a87669da1e6f247d835eb0ad9f108be613d7,0.04938977879481319,0.09406060606060607,0.0034129692832764536,0.900130728317247,1.0,0.0,0.0,1.0,0.0,1.0,0.4145050865064248
4af8b7e92a8e4b1f96e401448e55e0930575c18d5c27b94948bd81dc18eef050,0.0,0.0,0.0,1.0,0.46181474926082866,0.0,0.0,1.0,0.0,1.0,0.40728860127738825
4af8b7e92a8e4b1f96e401448e55e0930575c18d5c27b94948bd81dc18eef050,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.5926580195771064
4af8b7e92a8e4b1f96e401448e55e0930575c18d5c27b94948bd81dc18eef050,0.1149093904448109,0.2360993508326277,0.011042944785276076,0.8852006025123078,1.0,0.0,0.0,1.0,0.0,1.0,0.43081989897336753
2e08e5df8cec0dad92b530b9c8188b1bf980997104202ab90cd2b1090cf54478,0.0,0.0,0.0,1.0,0.7242996719919803,0.0,0.0,0.0,1.0,1.0,0.3955421674524298
2e08e5df8cec0dad92b530b9c8188b1bf980997104202ab90cd2b1090cf54478,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.6039816793303991
2e08e5df8cec0dad92b530b9c8188b1bf980997104202ab90cd2b1090cf54478,0.12725276144951875,0.24628078509813728,0.011918951132300357,0.9107207972064318,1.0,0.0,0.0,0.0,1.0,1.0,0.42111388702773195
0d33a163c37687dbd9e51f049945c9ee35235c69fffb39d1a9d7da7cad4d1990,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.39080409821445583
0d33a163c37687dbd9e51f049945c9ee35235c69fffb39d1a9d7da7cad4d1990,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.6091959017855443
0d33a163c37687dbd9e51f049945c9ee35235c69fffb39d1a9d7da7cad4d1990,0.17552670259676623,0.32406465468520396,0.015659955257270694,0.6908627800673444,0.042136235079054715,0.0,0.0,1.0,1.0,1.0,0.4419046609197557
bb8a2a091e77cbafdb4b33971411c8e8d9cdb8fca4ea4c273a6aaecfabbdd6fc,0.0,0.0,0.0,1.0,0.47089128194256397,0.0,0.0,1.0,1.0,1.0,0.3934862285446028
bb8a2a091e77cbafdb4b33971411c8e8d9cdb8fca4ea4c273a6aaecfabbdd6fc,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.6052789971752607
bb8a2a091e77cbafdb4b33971411c8e8d9cdb8fca4ea4c273a6aaecfabbdd6fc,0.15306256572029406,0.30122818358112474,0.01477832512315271,0.7341354924773215,1.0,0.0,0.0,1.0,1.0,1.0,0.4379704654199869
f9638fe2f5a84c9c45d3ef8e32d0cb15d7fa9d84fcb81f9577739beed6bf4e59,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.40582623230167914
f9638fe2f5a84c9c45d3ef8e32d0cb15d7fa9d84fcb81f9577739beed6bf4e59,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.5941737676983209
f9638fe2f5a84c9c45d3ef8e32d0cb15d7fa9d84fcb81f9577739beed6bf4e59,0.11236404884233073,0.22438374417055298,0.010356731875719219,0.8176336346710791,0.8640141368186638,0.0,0.0,1.0,1.0,1.0,0.43207992677315005
8dcf3b384e58ce0947273f0f8bf56ea0fb57baae8aceafab8efd20c428791c11,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.4074303012400228
8dcf3b384e58ce0947273f0f8bf56ea0fb57baae8aceafab8efd20c428791c11,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.5925696987599771
8dcf3b384e58ce0947273f0f8bf56ea0fb57baae8aceafab8efd20c428791c11,0.12300607355002356,0.245801119701413,0.011764705882352944,0.7788411891160673,0.9484040533247763,0.0,0.0,0.0,0.0,1.0,0.4397805850617614
12e327bb3a416bdfcb255a6514078230ea75a3a69d1ca3081acb40ce2f113afe,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.39390917655684227
12e327bb3a416bdfcb255a6514078230ea75a3a69d1ca3081acb40ce2f113afe,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.6060908234431578
12e327bb3a416bdfcb255a6514078230ea75a3a69d1ca3081acb40ce2f113afe,0.04942242058283013,0.09724013412432292,0.003500583430571765,0.9875304218038241,0.009407812846671833,0.0,0.0,1.0,1.0,1.0,0.4009383115539368
c5645fcfdda829886b34b6f75c8290e4b9137a224ba4962354f8dd1e9d109f28,0.0,0.0,0.0,1.0,0.627863385225895,0.0,0.0,1.0,1.0,1.0,0.39541487830235494
c5645fcfdda829886b34b6f75c8290e4b9137a224ba4962354f8dd1e9d109f28,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.6045003749676476
c5645fcfdda829886b34b6f75c8290e4b9137a224ba4962354f8dd1e9d109f28,0.07711835334476907,0.1583251092626533,0.0060096153846153815,0.7745146916749632,1.0,0.0,0.0,1.0,1.0,1.0,0.41850584763038073
73544d0fc25944dd01ccade03be3b4c1b04ba0f35815f49aea160a50b52ded42,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.3942420363760093
73544d0fc25944dd01ccade03be3b4c1b04ba0f35815f49aea160a50b52ded42,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.6057579636239906
73544d0fc25944dd01ccade03be3b4c1b04ba0f35815f49aea160a50b52ded42,0.056781503194783554,0.11197713691868016,0.00467836257309942,0.9288335754536999,0.6812473104564077,0.0,0.0,1.0,1.0,1.0,0.40464996661917096
cf2bc696332cde3c81ba113bf181523d40bd603eb269991f40ff24100f149ddd,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.39903884906439596
cf2bc696332cde3c81ba113bf181523d40bd603eb269991f40ff24100f149ddd,1.0,1.0,1.0,0.0,0.4406169144470037,1.0,1.0,0.0,1.0,0.0,0.5995027700177207
cf2bc696332cde3c81ba113bf181523d40bd603eb269991f40ff24100f149ddd,0.19904718397180698,0.38898099732177016,0.019354838709677424,0.8175442757694776,1.0,0.0,0.0,1.0,0.0,1.0,0.45223832724410656
48a9bdbdfd0ed8409ad476bd5a9361ce5ad6b25dec0a3293c25f1912145fc7f5,0.0,0.0,0.0,1.0,0.4056503108854471,0.0,0.0,1.0,1.0,1.0,0.40193744320251007
48a9bdbdfd0ed8409ad476bd5a9361ce5ad6b25dec0a3293c25f1912145fc7f5,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.5969904070348765
48a9bdbdfd0ed8409ad476bd5a9361ce5ad6b25dec0a3293c25f1912145fc7f5,0.10275386038568297,0.21978691019786908,0.010362694300518135,0.8381919776740778,1.0,0.0,0.0,1.0,1.0,1.0,0.42714889843760856
1f3bc8ccf9127636b91ea0e21e891d25289d184b725ae0861f4f7634260078de,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.400552553800384
